coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,liquidity_score,price_change_ratio,volume_to_price,is_stable_coin
Algorand,ALGO,0.731009,0.025,0.0139999999999999,-0.01,151572159.0,4824820884.0,2022-03-16,0.03141508516982285,0.019151610992477384,207346501.8898536,0
The Sandbox,SAND,3.21,0.004,0.042,0.083,1054426538.0,3671953183.0,2022-03-17,0.2871568577948288,0.013084112149532711,328481787.5389408,0
LooksRare,LOOKS,1.25,0.018,-0.0279999999999999,0.099,52982527.0,306746978.0,2022-03-17,0.1727238760278838,-0.02239999999999992,42386021.6,0
Aave,AAVE,147.18,0.0069999999999999,0.071,0.153,406722278.0,2009385126.0,2022-03-17,0.2024113111704202,0.00048240250033972,2763434.4204375595,0
Magic,MAGIC,2.66,-0.002,-0.045,-0.054,4586490.0,135701244.0,2022-03-17,0.03379843739678613,-0.016917293233082706,1724244.3609022556,0
Synthetix Network Token,SNX,4.48,0.001,0.059,-0.06,99940204.0,960919289.0,2022-03-17,0.1040047849429735,0.013169642857142855,22308081.249999996,0
Constellation,DAG,0.152116,0.013,-0.013,0.249,1019712.0,382521151.0,2022-03-16,0.0026657663173245026,-0.08546109547976544,6703515.737989429,0
cBAT,CBAT,0.013887822764,,,,,96581377.0,2022-03-17,,,,0
ARPA Chain,ARPA,0.068515692234,0.0279999999999999,0.026,-0.008,14838311.0,66892485.0,2022-03-16,0.22182328852037714,0.379475112229806,216568066.6163756,0
OriginTrail,TRAC,0.403433,-0.01,0.006,-0.093,1641938.0,147741339.0,2022-03-17,0.011113599017807738,0.014872357987571668,4069914.9548995746,0
Gala,GALA,0.227781,0.026,0.047,0.037,551763058.0,1714837250.0,2022-03-16,0.3217582648149263,0.20633854447912686,2422340133.7249374,0
Songbird,SGB,0.062799688152,0.022,0.006,-0.1369999999999999,2629530.0,486741272.0,2022-03-16,0.005402315668024962,0.09554187570928115,41871704.73897101,0
Dvision Network,DVI,0.380746,0.008,0.091,-0.108,2438408.0,92462684.0,2022-03-17,0.026371806381912947,0.23900448067740698,6404290.52439159,0
StarLink,STARL,1.4478205e-05,0.002,0.003,-0.023,6019692.0,144516643.0,2022-03-17,0.04165397060876926,207.20800679365985,415776126943.91327,0
STEPN,GMT,0.761181,0.013,0.425,4.6080000000000005,1358531219.0,456251258.0,2022-03-17,2.9775944617779007,0.5583428908498766,1784767642.65004,0
Ark,ARK,0.834377,0.0069999999999999,0.017,-0.0279999999999999,2749604.0,137522294.0,2022-03-16,0.019993878228936467,0.020374482997493937,3295397.643990666,0
SwissBorg,CHSB,0.426636,-0.004,-0.002,-0.077,717426.0,407989611.0,2022-03-17,0.0017584418344417107,-0.004687836938279939,1681588.0516412116,0
Celer Network,CELR,0.037068909834,0.0289999999999999,0.0279999999999999,-0.003,35862409.0,208463091.0,2022-03-16,0.17203241508109463,0.7553499718601921,967452486.7495999,0
Ellipsis,EPS,0.166502,-0.001,0.012,-0.0289999999999999,5645716.0,104379795.0,2022-03-17,0.05408820739684342,0.07207120635187565,33907796.903340496,0
SafeMoon [OLD],SAFEMOON,5.15423e-07,0.002,0.02,-0.009,879.16,277800683.0,2022-03-17,3.1647150413953444e-06,38803.080188505366,1705705798.926319,0
Mango,MNGO,0.148804,0.021,0.011,-0.026,535237.0,152354623.0,2022-03-16,0.0035130998289431624,0.07392274401225774,3596926.1578989816,0
Dent,DENT,0.002405588079,-0.002,0.023,-0.042,15366549.0,230289059.0,2022-03-17,0.06672722128757319,9.56107165677387,6387855482.883777,0
Sai,SAI,1.0,,,,,72643253.0,2022-03-17,,,,0
