iter	Passed	Remaining
0	5	5620
1	10	5392
2	15	5277
3	20	5045
4	23	4770
5	28	4710
6	32	4591
7	36	4473
8	39	4383
9	43	4309
10	46	4223
11	50	4170
12	53	4094
13	57	4079
14	61	4038
15	64	3994
16	68	3973
17	72	3957
18	76	3931
19	79	3902
20	83	3872
21	86	3866
22	90	3852
23	94	3834
24	98	3832
25	102	3824
26	106	3835
27	110	3821
28	119	3997
29	123	4001
30	128	4011
31	135	4089
32	140	4106
33	143	4088
34	147	4064
35	151	4047
36	155	4037
37	160	4051
38	165	4068
39	169	4074
40	174	4078
41	179	4091
42	184	4105
43	189	4106
44	193	4106
45	198	4108
46	202	4101
47	206	4105
48	211	4096
49	214	4081
50	218	4066
51	222	4053
52	226	4040
53	229	4026
54	233	4013
55	237	4001
56	241	3990
57	244	3977
58	248	3962
59	251	3946
60	255	3936
61	259	3928
62	263	3918
63	270	3956
64	274	3941
65	277	3929
66	281	3919
67	285	3908
68	288	3896
69	292	3888
70	296	3877
71	300	3867
72	303	3859
73	307	3847
74	311	3837
75	314	3823
76	318	3812
77	321	3802
78	325	3796
79	329	3785
80	332	3776
81	336	3765
82	340	3757
83	343	3750
84	347	3743
85	351	3732
86	355	3734
87	360	3737
88	365	3736
89	372	3768
90	378	3784
91	386	3819
92	392	3823
93	396	3819
94	403	3845
95	409	3858
96	413	3849
97	417	3838
98	420	3829
99	424	3820
100	427	3808
101	431	3799
102	435	3792
103	438	3782
104	442	3776
105	447	3771
106	451	3768
107	454	3754
108	457	3741
109	460	3727
110	463	3714
111	466	3700
112	469	3688
113	472	3674
114	475	3661
115	479	3650
116	481	3636
117	484	3624
118	488	3612
119	490	3600
120	494	3588
121	497	3577
122	500	3566
123	503	3555
124	506	3543
125	509	3531
126	512	3520
127	515	3509
128	518	3500
129	521	3489
130	524	3478
131	527	3468
132	530	3458
133	535	3461
134	539	3457
135	542	3447
136	545	3437
137	548	3427
138	551	3417
139	554	3407
140	557	3398
141	560	3388
142	563	3378
143	566	3368
144	569	3360
145	572	3350
146	576	3344
147	580	3339
148	584	3335
149	587	3331
150	592	3331
151	596	3325
152	600	3321
153	603	3316
154	608	3316
155	612	3315
156	617	3315
157	620	3309
158	624	3303
159	628	3297
160	632	3295
161	636	3291
162	639	3285
163	643	3280
164	647	3275
165	650	3268
166	654	3263
167	657	3257
168	661	3253
169	665	3249
170	669	3244
171	672	3239
172	678	3244
173	683	3245
174	687	3240
175	691	3235
176	694	3229
177	698	3226
178	703	3224
179	706	3219
180	710	3214
181	713	3208
182	717	3204
183	721	3198
184	724	3193
185	728	3189
186	732	3185
187	736	3180
188	739	3174
189	743	3169
190	747	3165
191	750	3159
192	754	3154
193	758	3150
194	762	3146
195	765	3141
196	769	3136
197	772	3130
198	776	3126
199	780	3123
200	784	3117
201	787	3112
202	791	3107
203	794	3101
204	798	3097
205	802	3092
206	805	3086
207	811	3090
208	816	3091
209	820	3086
210	823	3080
211	827	3075
212	831	3070
213	834	3065
214	838	3060
215	842	3058
216	846	3055
217	850	3051
218	855	3049
219	859	3046
220	863	3042
221	866	3036
222	871	3036
223	876	3037
224	881	3036
225	886	3035
226	889	3030
227	893	3025
228	897	3021
229	901	3017
230	904	3012
231	908	3007
232	912	3002
233	915	2998
234	919	2992
235	922	2987
236	926	2982
237	929	2977
238	933	2972
239	937	2968
240	940	2963
241	945	2961
242	952	2966
243	956	2964
244	961	2963
245	966	2961
246	970	2958
247	975	2957
248	979	2955
249	984	2954
250	989	2952
251	994	2950
252	998	2948
253	1002	2945
254	1008	2945
255	1013	2944
256	1017	2941
257	1021	2938
258	1026	2936
259	1030	2933
260	1035	2931
261	1039	2929
262	1044	2927
263	1049	2925
264	1054	2923
265	1058	2921
266	1063	2919
267	1067	2916
268	1072	2913
269	1076	2911
270	1085	2919
271	1092	2923
272	1097	2922
273	1102	2920
274	1107	2920
275	1112	2918
276	1117	2916
277	1122	2915
278	1127	2913
279	1131	2909
280	1136	2908
281	1141	2907
282	1146	2904
283	1150	2901
284	1156	2901
285	1161	2899
286	1166	2897
287	1170	2894
288	1175	2891
289	1179	2888
290	1184	2885
291	1188	2882
292	1193	2879
293	1197	2875
294	1200	2869
295	1204	2864
296	1207	2858
297	1211	2853
298	1215	2849
299	1218	2843
300	1222	2838
301	1227	2836
302	1232	2834
303	1235	2829
304	1239	2824
305	1243	2819
306	1246	2814
307	1250	2809
308	1253	2802
309	1256	2796
310	1259	2790
311	1262	2783
312	1265	2777
313	1268	2770
314	1271	2764
315	1274	2758
316	1277	2752
317	1280	2745
318	1283	2739
319	1286	2733
320	1289	2727
321	1292	2720
322	1295	2715
323	1298	2709
324	1301	2702
325	1304	2696
326	1307	2690
327	1310	2684
328	1313	2678
329	1316	2672
330	1319	2666
331	1322	2660
332	1325	2654
333	1331	2655
334	1334	2648
335	1337	2643
336	1340	2637
337	1343	2631
338	1346	2625
339	1349	2620
340	1352	2614
341	1355	2608
342	1360	2606
343	1365	2604
344	1369	2599
345	1372	2593
346	1375	2588
347	1378	2582
348	1381	2576
349	1384	2570
350	1387	2565
351	1390	2559
352	1393	2553
353	1396	2548
354	1399	2542
355	1402	2537
356	1405	2532
357	1408	2526
358	1411	2520
359	1414	2515
360	1417	2509
361	1420	2504
362	1423	2498
363	1426	2493
364	1429	2487
365	1432	2482
366	1435	2476
367	1439	2471
368	1443	2468
369	1447	2463
370	1450	2459
371	1454	2455
372	1457	2450
373	1461	2446
374	1465	2442
375	1468	2437
376	1471	2432
377	1475	2427
378	1478	2421
379	1481	2416
380	1484	2411
381	1487	2405
382	1491	2403
383	1496	2400
384	1499	2395
385	1502	2390
386	1505	2385
387	1508	2379
388	1511	2374
389	1514	2369
390	1517	2363
391	1520	2358
392	1523	2353
393	1526	2347
394	1529	2342
395	1532	2338
396	1535	2332
397	1538	2327
398	1541	2322
399	1544	2316
400	1547	2312
401	1550	2306
402	1553	2302
403	1557	2296
404	1559	2291
405	1565	2289
406	1568	2284
407	1571	2279
408	1574	2274
409	1577	2269
410	1580	2264
411	1583	2259
412	1586	2255
413	1589	2250
414	1593	2246
415	1596	2241
416	1600	2237
417	1603	2232
418	1606	2227
419	1609	2222
420	1612	2217
421	1615	2212
422	1618	2208
423	1623	2206
424	1626	2201
425	1629	2196
426	1633	2191
427	1636	2187
428	1639	2182
429	1642	2177
430	1645	2172
431	1649	2168
432	1652	2163
433	1655	2158
434	1658	2153
435	1663	2152
436	1666	2147
437	1670	2142
438	1672	2137
439	1676	2133
440	1679	2128
441	1682	2123
442	1685	2119
443	1688	2114
444	1691	2110
445	1694	2105
446	1697	2100
447	1700	2095
448	1704	2091
449	1707	2087
450	1710	2082
451	1713	2077
452	1716	2072
453	1719	2067
454	1722	2063
455	1725	2058
456	1728	2053
457	1731	2049
458	1734	2044
459	1737	2040
460	1740	2035
461	1743	2030
462	1746	2025
463	1751	2023
464	1755	2020
465	1758	2015
466	1761	2010
467	1764	2006
468	1767	2001
469	1770	1996
470	1773	1992
471	1776	1987
472	1779	1982
473	1782	1978
474	1785	1973
475	1788	1968
476	1791	1964
477	1794	1959
478	1797	1955
479	1800	1950
480	1803	1945
481	1806	1941
482	1809	1936
483	1812	1932
484	1815	1927
485	1818	1923
486	1822	1919
487	1826	1915
488	1829	1911
489	1832	1907
490	1836	1903
491	1839	1899
492	1842	1894
493	1845	1890
494	1848	1885
495	1851	1881
496	1854	1876
497	1857	1872
498	1860	1867
499	1864	1864
500	1866	1859
501	1869	1855
502	1872	1850
503	1875	1846
504	1879	1841
505	1883	1838
506	1887	1835
507	1890	1831
508	1893	1826
509	1896	1822
510	1899	1817
511	1902	1813
512	1905	1808
513	1908	1804
514	1911	1800
515	1914	1795
516	1917	1791
517	1920	1787
518	1923	1782
519	1926	1778
520	1929	1773
521	1932	1769
522	1935	1764
523	1938	1760
524	1941	1756
525	1944	1752
526	1947	1747
527	1950	1743
528	1953	1739
529	1956	1734
530	1959	1730
531	1962	1726
532	1965	1721
533	1968	1717
534	1971	1713
535	1974	1709
536	1977	1704
537	1980	1700
538	1983	1696
539	1986	1692
540	1989	1687
541	1992	1683
542	1996	1680
543	2000	1676
544	2004	1673
545	2008	1669
546	2012	1667
547	2018	1664
548	2026	1664
549	2034	1664
550	2041	1663
551	2045	1660
552	2050	1657
553	2053	1653
554	2058	1650
555	2062	1646
556	2066	1643
557	2069	1639
558	2074	1636
559	2078	1632
560	2081	1629
561	2085	1625
562	2089	1621
563	2093	1618
564	2097	1614
565	2101	1611
566	2104	1607
567	2108	1603
568	2112	1600
569	2116	1596
570	2120	1592
571	2123	1588
572	2126	1584
573	2129	1580
574	2132	1575
575	2135	1571
576	2138	1567
577	2141	1563
578	2144	1559
579	2147	1555
580	2150	1550
581	2153	1546
582	2156	1542
583	2160	1538
584	2163	1534
585	2166	1530
586	2170	1526
587	2176	1525
588	2179	1521
589	2182	1516
590	2185	1512
591	2188	1508
592	2191	1504
593	2194	1500
594	2197	1496
595	2200	1491
596	2203	1487
597	2206	1483
598	2212	1481
599	2216	1477
600	2219	1473
601	2222	1469
602	2225	1465
603	2229	1461
604	2232	1457
605	2234	1453
606	2237	1448
607	2241	1444
608	2243	1440
609	2246	1436
610	2250	1432
611	2253	1428
612	2256	1424
613	2259	1420
614	2262	1416
615	2265	1412
616	2268	1408
617	2271	1403
618	2274	1399
619	2277	1395
620	2279	1391
621	2282	1387
622	2286	1383
623	2290	1379
624	2293	1376
625	2296	1372
626	2299	1368
627	2304	1365
628	2308	1361
629	2311	1357
630	2314	1353
631	2317	1349
632	2320	1345
633	2323	1341
634	2326	1337
635	2328	1332
636	2332	1329
637	2335	1325
638	2338	1321
639	2341	1317
640	2344	1313
641	2347	1308
