iter	Passed	Remaining
0	5	5756
1	11	5782
2	19	6580
3	23	5840
4	36	7207
5	45	7474
6	52	7399
7	56	6957
8	62	6853
9	68	6773
10	74	6662
11	81	6734
12	85	6489
13	89	6272
14	99	6536
15	104	6435
16	113	6568
17	117	6423
18	127	6599
19	135	6636
20	139	6503
21	143	6382
22	147	6262
23	151	6142
24	155	6083
25	160	6007
26	169	6102
27	176	6111
28	179	5999
29	182	5888
30	185	5786
31	190	5772
32	195	5723
33	198	5644
34	201	5556
35	206	5529
36	209	5453
37	212	5378
38	215	5305
39	220	5284
40	223	5229
41	226	5169
42	229	5108
43	232	5057
44	237	5030
45	240	4978
46	242	4926
47	245	4877
48	250	4855
49	253	4823
50	256	4781
51	259	4738
52	262	4696
53	267	4692
54	276	4756
55	282	4765
56	286	4740
57	291	4732
58	294	4696
59	299	4691
60	302	4661
61	305	4627
62	308	4591
63	313	4580
64	318	4586
65	364	5152
66	372	5181
67	385	5286
68	403	5447
69	416	5536
70	423	5547
71	435	5616
72	446	5672
73	469	5869
74	478	5900
75	485	5904
76	493	5917
77	515	6094
78	522	6093
79	532	6124
80	541	6147
81	579	6481
82	587	6494
83	596	6509
84	608	6554
85	613	6524
86	617	6483
87	623	6461
88	628	6433
89	642	6499
90	650	6501
91	661	6526
92	668	6519
93	677	6526
94	680	6484
95	683	6438
96	692	6443
97	696	6412
98	699	6366
99	704	6337
100	707	6299
101	711	6265
102	716	6239
103	721	6213
104	725	6187
105	729	6148
106	731	6108
107	736	6082
108	740	6050
109	743	6017
110	749	5999
111	753	5970
112	757	5945
113	760	5909
114	763	5873
115	768	5853
116	771	5824
117	774	5790
118	777	5756
119	782	5735
120	785	5707
121	788	5675
122	791	5645
123	794	5614
124	798	5591
125	802	5565
126	807	5547
127	810	5518
128	814	5500
129	817	5472
130	820	5444
131	823	5417
132	830	5416
133	835	5399
134	838	5372
135	841	5346
136	845	5329
137	848	5303
138	851	5276
139	854	5252
140	859	5234
141	862	5210
142	865	5186
143	868	5162
144	871	5138
145	876	5128
146	879	5105
147	882	5081
148	885	5058
149	889	5041
150	893	5023
151	897	5005
152	901	4991
153	906	4978
154	909	4958
155	912	4936
156	915	4915
157	918	4895
158	923	4882
159	926	4861
160	929	4841
161	931	4820
162	937	4812
163	940	4795
164	944	4777
165	947	4760
166	953	4755
167	958	4747
168	962	4731
169	966	4720
170	974	4723
171	979	4714
172	985	4712
173	990	4702
174	996	4700
175	1004	4703
176	1009	4693
177	1015	4690
178	1020	4682
179	1025	4671
180	1033	4677
181	1037	4662
182	1040	4647
183	1047	4645
184	1055	4648
185	1059	4635
186	1065	4634
187	1069	4619
188	1073	4604
189	1076	4590
190	1081	4581
191	1085	4566
192	1088	4551
193	1091	4535
194	1095	4522
195	1099	4508
196	1104	4503
197	1108	4491
198	1112	4478
199	1115	4462
200	1118	4445
201	1121	4429
202	1125	4420
203	1128	4404
204	1131	4389
205	1134	4374
206	1137	4358
207	1142	4349
208	1145	4334
209	1148	4320
210	1151	4305
211	1155	4295
212	1159	4283
213	1162	4268
214	1165	4254
215	1168	4240
216	1176	4243
217	1180	4235
218	1183	4221
219	1187	4211
220	1191	4200
221	1195	4190
222	1199	4178
223	1204	4171
224	1207	4158
225	1210	4144
226	1213	4131
227	1216	4119
228	1220	4110
229	1223	4096
230	1226	4083
231	1229	4070
232	1234	4062
233	1237	4049
234	1240	4036
235	1242	4023
236	1245	4010
237	1250	4004
238	1253	3992
239	1256	3979
240	1259	3967
241	1263	3957
242	1266	3946
243	1269	3934
244	1273	3922
245	1276	3911
246	1280	3903
247	1283	3893
248	1288	3885
249	1291	3874
250	1296	3867
251	1299	3855
252	1301	3844
253	1304	3832
254	1308	3821
255	1320	3838
256	1326	3835
257	1330	3827
258	1334	3818
259	1339	3811
260	1347	3816
261	1354	3814
262	1363	3820
263	1367	3811
264	1372	3805
265	1377	3800
266	1381	3791
267	1385	3784
268	1391	3780
269	1395	3773
270	1401	3770
271	1407	3766
272	1411	3757
273	1414	3748
274	1418	3739
275	1424	3735
276	1427	3726
277	1431	3718
278	1436	3712
279	1441	3707
280	1445	3699
281	1448	3689
282	1455	3688
283	1460	3681
284	1463	3670
285	1466	3659
286	1470	3653
287	1473	3643
288	1476	3632
289	1479	3622
290	1483	3614
291	1487	3606
292	1491	3598
293	1495	3591
294	1499	3584
295	1502	3574
296	1505	3564
297	1508	3554
298	1511	3544
299	1516	3538
300	1519	3529
301	1522	3519
302	1525	3509
303	1529	3502
304	1540	3511
305	1547	3510
306	1550	3501
307	1553	3491
308	1556	3481
309	1560	3472
310	1564	3465
311	1567	3455
312	1570	3446
313	1573	3436
314	1577	3430
315	1581	3422
316	1585	3416
317	1592	3415
318	1596	3408
319	1599	3399
320	1602	3389
321	1605	3380
322	1612	3380
323	1615	3371
324	1618	3362
325	1622	3353
326	1626	3347
327	1629	3338
328	1632	3329
329	1635	3320
330	1639	3314
331	1643	3306
332	1646	3297
333	1649	3288
334	1652	3279
335	1656	3273
336	1659	3264
337	1662	3255
338	1665	3247
339	1669	3241
340	1673	3233
341	1676	3224
342	1679	3216
343	1682	3207
344	1686	3201
345	1689	3194
346	1694	3188
347	1697	3180
348	1702	3175
349	1705	3167
350	1708	3158
351	1711	3150
352	1714	3143
353	1718	3136
354	1721	3128
355	1724	3120
356	1727	3112
357	1732	3107
358	1735	3098
359	1738	3090
360	1741	3082
361	1744	3075
362	1749	3069
363	1752	3061
364	1754	3053
365	1758	3045
366	1763	3041
367	1769	3039
368	1773	3032
369	1777	3026
370	1781	3019
371	1785	3014
372	1788	3007
373	1793	3001
374	1796	2994
375	1799	2986
376	1802	2979
377	1805	2971
378	1810	2967
379	1815	2961
380	1818	2955
381	1822	2947
382	1826	2943
383	1829	2935
384	1833	2928
385	1836	2920
386	1840	2915
387	1843	2908
388	1846	2900
389	1849	2892
390	1852	2885
391	1857	2880
392	1860	2872
393	1862	2865
394	1865	2858
395	1870	2852
396	1873	2845
397	1876	2838
398	1879	2831
399	1882	2823
400	1887	2818
401	1890	2812
402	1895	2807
403	1898	2800
404	1904	2797
405	1908	2792
406	1911	2785
407	1914	2778
408	1919	2773
409	1923	2767
410	1926	2761
411	1932	2757
412	1937	2754
413	1941	2748
414	1944	2741
415	1950	2738
416	1954	2732
417	1958	2726
418	1962	2721
419	1967	2716
420	1970	2710
421	1974	2703
422	1978	2698
423	1982	2693
424	1988	2690
425	1992	2684
426	1998	2681
427	2002	2675
428	2005	2669
429	2009	2663
430	2013	2657
431	2016	2650
432	2018	2643
433	2021	2636
434	2026	2631
435	2029	2625
436	2032	2618
437	2035	2611
438	2038	2604
439	2045	2603
440	2050	2598
441	2053	2592
442	2057	2586
443	2060	2580
444	2063	2573
445	2066	2566
446	2069	2559
447	2073	2554
448	2077	2549
449	2081	2544
450	2085	2538
451	2090	2534
452	2093	2527
453	2096	2521
454	2099	2514
455	2102	2508
456	2106	2502
457	2109	2496
458	2112	2489
459	2115	2483
460	2119	2478
461	2123	2472
462	2125	2465
463	2128	2459
464	2131	2452
465	2136	2448
466	2139	2442
467	2142	2435
468	2145	2429
469	2148	2423
470	2152	2417
471	2155	2411
472	2156	2403
473	2159	2396
474	2162	2390
475	2167	2386
476	2170	2379
477	2173	2373
478	2176	2367
479	2180	2361
480	2184	2357
481	2189	2353
482	2195	2350
483	2199	2344
484	2201	2338
485	2204	2331
486	2207	2325
487	2211	2320
488	2215	2314
489	2218	2308
490	2220	2302
491	2224	2296
492	2228	2291
493	2231	2285
494	2234	2279
495	2237	2273
496	2240	2267
497	2245	2263
498	2248	2257
499	2251	2251
500	2254	2245
501	2258	2240
502	2262	2235
503	2264	2228
504	2267	2222
505	2270	2217
506	2277	2214
507	2280	2208
508	2285	2204
509	2290	2200
510	2293	2194
511	2296	2188
512	2299	2182
513	2302	2176
514	2306	2172
515	2309	2166
516	2312	2160
517	2315	2154
518	2319	2150
519	2325	2146
520	2329	2141
521	2331	2135
522	2336	2130
523	2339	2125
524	2342	2119
525	2345	2113
526	2348	2107
527	2352	2103
528	2355	2097
529	2358	2091
530	2361	2085
531	2364	2080
532	2368	2075
533	2372	2070
534	2378	2067
535	2383	2063
536	2387	2058
537	2390	2052
538	2393	2046
539	2397	2041
540	2400	2036
541	2403	2030
542	2406	2025
543	2409	2019
544	2413	2015
545	2416	2009
546	2419	2004
547	2422	1998
548	2425	1992
549	2430	1988
550	2435	1984
551	2438	1978
552	2440	1973
553	2445	1968
554	2448	1963
555	2451	1957
556	2454	1952
557	2457	1946
558	2462	1942
559	2465	1937
560	2468	1931
561	2471	1926
562	2475	1921
563	2479	1916
564	2483	1911
565	2487	1907
566	2491	1902
567	2494	1897
568	2497	1891
569	2500	1886
570	2503	1880
571	2511	1879
572	2514	1873
573	2517	1868
574	2521	1863
575	2525	1858
576	2528	1853
577	2531	1848
578	2534	1842
579	2538	1838
580	2541	1833
581	2544	1827
582	2547	1822
583	2551	1817
584	2555	1812
585	2558	1807
586	2561	1801
587	2564	1796
588	2568	1792
589	2571	1787
590	2575	1782
591	2579	1777
592	2584	1773
593	2587	1768
594	2590	1763
595	2593	1757
596	2596	1752
597	2601	1748
598	2604	1743
599	2607	1738
600	2610	1733
601	2615	1728
602	2618	1723
603	2621	1718
604	2624	1713
605	2627	1708
606	2631	1703
607	2634	1698
608	2637	1693
609	2640	1688
610	2644	1683
611	2651	1680
612	2654	1675
613	2657	1670
614	2661	1666
615	2665	1661
616	2669	1657
617	2673	1652
618	2678	1648
619	2681	1643
620	2684	1638
621	2686	1632
622	2690	1627
623	2694	1623
624	2697	1618
625	2700	1613
626	2703	1608
627	2708	1604
628	2711	1599
629	2714	1594
630	2717	1589
